+------+--------------------------------------------------------------------------------------------------------------------------------+
| 编号 | 名称                                                                                                                           |
+------+--------------------------------------------------------------------------------------------------------------------------------+
|  1   | 肖申克的救赎 / The Shawshank Redemption / 月黑高飞(港)  /  刺激1995(台)                                                        |
|  2   | 这个杀手不太冷 / Léon / 杀手莱昂  /  终极追杀令(台)                                                                            |
|  3   | 霸王别姬 / 再见，我的妾  /  Farewell My Concubine                                                                              |
|  4   | 阿甘正传 / Forrest Gump / 福雷斯特·冈普                                                                                        |
|  5   | 美丽人生 / La vita è bella / 一个快乐的传说(港)  /  Life Is Beautiful                                                          |
|  6   | 千与千寻 / 千と千尋の神隠し / 神隐少女(台)  /  Spirited Away                                                                   |
|  7   | 辛德勒的名单 / Schindler's List / 舒特拉的名单(港)  /  辛德勒名单                                                              |
|  8   | 泰坦尼克号 / Titanic / 铁达尼号(港 / 台)                                                                                       |
|  9   | 海上钢琴师 / La leggenda del pianista sull'oceano / 声光伴我飞(台)  /  一九零零的传奇(港)                                      |
|  10  | 盗梦空间 / Inception / 潜行凶间(港)  /  全面启动(台)                                                                           |
|  11  | 机器人总动员 / WALL·E / 瓦力(台)  /  太空奇兵·威E(港)                                                                          |
|  12  | 三傻大闹宝莱坞 / 3 Idiots / 三个傻瓜(台)  /  作死不离3兄弟(港)                                                                 |
|  13  | 放牛班的春天 / Les choristes / 歌声伴我心(港)  /  唱诗班男孩                                                                   |
|  14  | 忠犬八公的故事 / Hachi: A Dog's Tale / 忠犬小八(台)  /  秋田犬八千(港)                                                         |
|  15  | 大话西游之大圣娶亲 / 西遊記大結局之仙履奇緣 / 西游记完结篇仙履奇缘  /  齐天大圣西游记                                          |
|  16  | 龙猫 / となりのトトロ / 邻家的豆豆龙  /  隔壁的特特罗                                                                          |
|  17  | 教父 / The Godfather / Mario Puzo's The Godfather                                                                              |
|  18  | 乱世佳人 / Gone with the Wind / 飘                                                                                             |
|  19  | 楚门的世界 / The Truman Show / 真人Show(港)  /  真人戏                                                                         |
|  20  | 天堂电影院 / Nuovo Cinema Paradiso / 星光伴我心(台)  /  新天堂乐园(港)                                                         |
|  21  | 当幸福来敲门 / The Pursuit of Happyness / 寻找快乐的故事(港)  /  追求快乐                                                      |
|  22  | 搏击俱乐部 / Fight Club / 搏击会(港)  /  斗阵俱乐部(台)                                                                        |
|  23  | 触不可及 / Intouchables / 闪亮人生(港)  /  逆转人生(台)                                                                        |
|  24  | 指环王3：王者无敌 / The Lord of the Rings: The Return of the King / 魔戒三部曲：王者再临  /  指环王III：王者无敌               |
|  25  | 十二怒汉 / 12 Angry Men / 12怒汉  /  十二怒汉                                                                                  |
|  26  | 罗马假日 / Roman Holiday / 金枝玉叶(港)  /  罗马假期(台)                                                                       |
|  27  | 无间道 / 無間道 / Infernal Affairs                                                                                             |
|  28  | 怦然心动 / Flipped / 萌动青春  /  青春萌动                                                                                     |
|  29  | 天空之城 / 天空の城ラピュタ / Tenkû no shiro Rapyuta  /  Laputa: Castle in the Sky                                             |
|  30  | 熔炉 / 도가니 / 无声呐喊(港)  /  漩涡                                                                                          |
|  31  | 两杆大烟枪 / Lock, Stock and Two Smoking Barrels / 够姜四小强(港)  /  两根枪管(台)                                             |
|  32  | 少年派的奇幻漂流 / Life of Pi / 少年Pi的奇幻漂流  /  漂流少年Pi                                                                |
